RAND_ID,V1,V2,V3,V4,V5,V7,V10,Q47,Q35,Q35_TEXT,Q25,Q31,Q32,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_6_TEXT,Q30_7,Q30_8,Q39,Q43,Q50_4,Q50_5,Q50_6,Q50_7,Q50_8,Q50_9,Q50_10,Q50_11,Q50_16,Q22_1,Q22_2,Q22_3,Q22_5,Q22_5_TEXT,Q1,Q40_1,Q40_2,Q40_3,Q48_1,Q48_2,Q48_3,Q26,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_7,Q34_7_TEXT,Q44,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_10,Q36_11,Q27,Q49,Q45,Q21_Tool_Count,Q21,Q41,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_7_TEXT,Q20,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q50_6,,,,
,R_Q4EmL4U4DRw6FEd,Default Response Set,Anonymous,,,1,1,1,1,,1,3,2,1,,,1,,,,,1,3,1,38,40,40,39,37,37,39,39,39,1,1,1,,,1,2,3,4,,,,1,1,1,1,,,,,1,16,16,14,16,15,17,17,15,16,16,1,Yada fajnafsdmldadgvsv / sfdmgnb / sfldknkladb,1,6,git diff / sublime / Github Desktop / squash / rebase / log,3,25,24,24,23,23,25,,,3,4,4,4,2,5,2,,,,
,R_1Q3GAZ3MxZ3DJGt,Default Response Set,Anonymous,,,0,1,1,1,,2,2,2,1,,,,,,,,,2,1,37,38,38,37,37,36,37,37,39,,,1,,,1,2,3,4,,,,3,,,,,,,,1,15,16,16,15,17,16,16,14,14,15,,,1,1,diff,2,24,23,22,22,22,25,,,3,2,4,4,4,3,2,,,,
,R_2a8kwBUWytXyScs,Default Response Set,Anonymous,,,0,1,1,1,,3,2,2,1,1,1,1,1,,,1,1,5,1,36,38,39,38,38,36,39,37,38,,,,,,,,,,,,,2,1,,,,,,,1,16,16,17,16,15,15,17,14,13,16,2,,1,4,"textmate, gitup, wercker, sourcetree ",2,26,26,26,25,24,25,,,5,3,4,4,3,4,2,,,,
,R_3M5VC8CdvskLXzz,Default Response Set,Anonymous,,,0,1,1,1,,3,2,5,1,,,,,,,,,2,1,37,39,37,36,37,37,38,39,37,1,,,,,1,1,2,4,,,,3,,,,,,,,1,14,15,14,15,15,15,13,14,15,14,,,1,3,Git and any editor. Usually sublime or eclipse ,1,25,24,24,23,22,22,,,3,2,4,5,4,4,4,,,,
,R_1LUWXDK3sInDNzM,Default Response Set,Anonymous,,,0,1,1,1,,1,1,2,1,,,,,,,,,2,1,37,39,37,39,37,38,37,38,37,,,1,,,2,,,,1,2,4,1,,,,,,1,"Not having tools that allow me to place my changes on top of other people's changes.Git allows me to rebase my working branches on top of master, thus keeping all my changes grouped and top of the rest of history (which I don't care that much about, as long as it just works or does not conflict with me)",1,15,16,17,14,17,17,16,16,16,15,,,1,3,Beyond Compare / gitk / terminal,4,26,25,24,24,22,26,,,3,3,3,4,5,4,3,,,,
,R_2S8NETv85NgOw5K,Default Response Set,Anonymous,,,0,1,1,2,,1,1,5,1,,,,,1,QA Engineer,,,2,1,37,38,38,37,39,36,37,39,38,1,1,1,,,1,1,3,4,,,,3,,,,,,,,1,16,17,16,16,17,17,16,16,17,15,,,1,4,"Git, vim, vim-fugative, occasionally turn to GitHub to see actually pull requests if merge conflict is particularly confusing/difficult.",1,26,26,25,25,26,26,,,5,3,2,1,1,3,2,,,,
,R_9tb2iP5ya7JGNLb,Default Response Set,Anonymous,,,0,1,1,1,,1,2,2,1,1,1,1,1,,,1,1,5,1,39,37,40,37,39,36,40,38,39,,,1,,,1,2,3,4,,,,3,,,,,,,,1,16,15,13,15,16,13,15,16,16,17,2,,1,4,"My editor, sometimes source tree, I have used diffmerge before and there is a merge resolution plugin for atom I use sometimes... Typically I just use my editor though... ",3,26,25,24,23,23,25,,,4,4,4,3,2,3,2,,,,
,R_5yUeeJcxLx5MDg9,Default Response Set,Anonymous,,,0,1,1,2,,1,2,3,1,,,,,,,,,5,1,36,38,39,37,38,37,38,38,40,1,,,,,3,,,,,,,3,,,,,,,,1,14,14,15,16,16,15,16,14,16,14,,,1,1,Eclipse. I suck at knowing what it is trying to tell me. ,2,24,24,23,23,24,23,,,4,5,5,4,3,3,4,,,,
,R_1jD7vEfjliZyPQQ,Default Response Set,Anonymous,,,0,1,1,1,,6,3,2,1,1,1,1,1,,,1,1,3,1,38,39,39,37,37,36,39,38,40,1,,1,,,2,,,,2,3,4,2,,1,,,,1,"In some cases my 'usual' development practices can be in conflict with someone else's 'usual' practices.  That's why I selected team awareness issues.  I have a habit of making voluminous comments which throws people into a tizzy because it can show interesting variances in git and SVN.  When I explain my purposes (make others aware) it not only makes more sense to others, but can even get them to be more aware of what they're doing.  Good for the team...",1,15,17,17,17,16,15,15,16,17,17,2,,1,1,"git or SVN / communication, communication, communication / some minor before/after testing / peer review when 'personal' conflicts arise / project management review when peer review fails / non-violent communication/ego-less skills / when all else fails, a large caliber handgun.  ;-) / a technique  / ",3,26,25,25,24,23,22,,It's difficult to know exactly what is meant by small/large/simple/complex. Those are objective terms...,4,2,2,4,1,1,2,,,,
,R_DHQv7ZGCeHfLCO5,Default Response Set,Anonymous,,,0,1,1,1,,6,1,5,1,,,,,1,Concurrency shaman,,,5,1,37,38,39,36,39,37,38,40,39,,,1,,,2,,,,2,3,5,3,,,,,,,,1,16,16,16,15,15,17,15,16,17,16,,,1,2,gitk / git merge display of conflict / Avoid conflicts by making small atomic changes.,2,26,26,24,24,23,25,,,3,2,2,2,2,2,2,,,,
